Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
liberty_enlightening_the_world_desc;It has been more than 40 years since France, under Emperor Napoleon I, came to the aid of the brave Polish people at the hour of their most dire need. Since then, the Kingdom of Poland-Lithuania has served as an inspiration to the romanticists in both of our nations, and has stood as a clear and voiceful reminder to the world of the lasting friendship that exists between the two nations. Some within France have suggested that we celebrate this anniversary by presenting to the Polish people a suitable gift to mark their time as a reborn nation, and their historical bonds of friendship with the French Empire. Vive la comm幦oration!;;;;;;;;;;;;;
Neue_Ostpolitik_title;Enact the Neue Ostpolitik;;;;;;;;;;;;;
Neue_Ostpolitik_desc;An evolution of the Teutonic ideals that inspired the creation of our nation has begun to merit serious consideration by many in our government. Increasingly, influential figures are arguing that the Teutonic Empire has a duty to spread beyond its current borders and secure greater amounts of arable land so as to keep the German blood and spirit pure. Those who think this way are calling for a great crusade against the Slavs to the East, hoping to form a greatly expanded Teutonic State. Even the Head of State is not immune from such thoughts, though his government knows that to enact such a plan would meet with a great deal of enmity from the rest of the world.;;;;;;;;;;;;;
appoint_slavophiles_title;Favor the Slavophiles;;;;;;;;;;;;;
appoint_slavophiles_desc;As head of state, let us choose, for the time being, to support the Slavophile faction. Their pro-peasant rhetoric might be crude, but it is appealing to the common people, and should reduce the risk of uprisings against us.;;;;;;;;;;;;;
appoint_westernizers_title;Favor the Westernizers;;;;;;;;;;;;;
appoint_westernizers_desc;As head of state, let us choose, for the time being, to support the Westernizer faction. Their liberal rhetoric might be tiresome, but it is should help soothe the eagerness of radical reforms and prevent people from developing dangerous ideas.;;;;;;;;;;;;;
accept_estonians_title;Accept Estonians;;;;;;;;;;;;;
accept_estonians_desc;The Estonian people have long had a complicated relationships with the German nobility of the Baltic. They have typically been treated equally as poorly as other Baltic peoples, forced to labor as serfs. However, they are not Slavs, and many of the German nobles admire their spirit and culture, claiming that Estonians are "Fifty Percent" German. Let us issue a decree affirming that Estonians, while not equal to Germans, are tolerated state subjects and entitled to the protection of the law.;;;;;;;;;;;;;
blood_for_Danzig_title;Retake Danzig;;;;;;;;;;;;;
blood_for_Danzig_desc;Prussia gained the city of Danzig in the Second Parition of Poland in 1793, but lost it only thirteen years later in the War of the Fourth Coalition. Though it was left independent in the Congress of Dresden, Prussia has been in charge of administering the Free City since then. Now, more than a decae later, nearly all of the German citizens of the city are desirous to return to the Prussian nation. Now is the time to announce to the world our retaking of our lost city! ;;;;;;;;;;;;;
blood_for_Pom_title;Dealing with Pomerania;;;;;;;;;;;;;
blood_for_Pom_desc;The Kingdom of Prussia has long desired Swedish Pomerania, and with the recent rise of German nationalism, it is getting more and more difficult to control the German population there. With the rising military power of the German states and our decline, many in our government are advising us to make an offer to Prussia to sell Pomerania in exchange for 40,000 pounds.;;;;;;;;;;;;;
become_Teutonic_state_title;Declare the Teutonic Empire;;;;;;;;;;;;;
become_Teutonic_state_desc;After years of struggle, all of the southern coast of the Baltic is united under Prussian rule. Like our ancestors, the Teutonic Knights of old, we are bringing German rule and culture to the backwards lands of the east. Now is the time to declare the birth of a new Teutonic Empire that shall forever serve as a bulwark against the barbaric Slavic race.;;;;;;;;;;;;;
blood_for_Pruss_Pol_title;The Posen Germans;;;;;;;;;;;;;
blood_for_Pruss_Pol_desc;From the Second Partition of Poland until the birth of the Duchy of Warsaw, the Kingdom of Prussia had control over the Posen region of Germany. The large amount of Germans living there do not forget how much better life was under us rather than the Poles, and most long for a return to Prussian rule. Our spies in the region and in the nearby province of Thorn tell us that the Germans would be quite willing to attempt an uprising agaisnt the Poles to join us, if we would support them. Of course, such an act would be a virtual declaration of war against Poland.;;;;;;;;;;;;;
enact_ostpolitik_title;Enact Ostpolitik;;;;;;;;;;;;;
enact_ostpolitik_desc;Now that we have secured our position in regards to Germany, the way to the east lies open. Otto von Bismarck promises that under his policy of Ostpolitik, Prussia shall secure the southern shore of the Baltic for the Prussian state. Expansion into the east will increase the agrarian and financial power of the Junker military-aristocracy and enable the Kingdom to establish a secure and stable bulwark of conservativism and monarchism that shall never be seduced by liberal and pan-Germanic ideas.;;;;;;;;;;;;;
pomeranian_voivodeship_title;The Pomeranian Voivodeship;;;;;;;;;;;;;
pomeranian_voivodeship_desc;After decades of oppression, the Polish people have reclaimed most of the Pomeranian coast for themselves. With the acquistion of western Prussia, Polish nationalists are calling for the renaming of the towns and cities to Polish names for the area. The Polonization process will begin by changing 'west Prussia' to 'Pomorskie.' Goodbye Danzig, hello Gdansk!;;;;;;;;;;;;;
reclamation_of_west_prussia_title;West Prussia Reclaimed;;;;;;;;;;;;;
reclamation_of_west_prussia_desc;With the German territory of West Prussia reclaimed from the foul Poles, it is obligatory to reintroduce proper German names to the regions administration.;;;;;;;;;;;;;
posen_est_deutsch_title;Posen Ist Deutsch;;;;;;;;;;;;;
posen_est_deutsch_desc;After the Treaty of Tilsit ended the War of the Fourth Coalition, the rightful German lands of Posen were unlawfully given to the devious Poles at the behest of French plotters seeking to weaken the German people and establish the petty Polish puppet state. For decades the innocent Germans lived at the behest of cruel Slavic tyranny who tried to purge the German heritage of the region, but no more! Now Posen is back in German hands, and so it deserves German names once more!;;;;;;;;;;;;;
poznan_jest_polska_title;Poznan Jest Polska;;;;;;;;;;;;;
poznan_jest_polska_desc;The Germans may have forcefully taken Poznan from the Poles once again, but it is only temporary. Now Poznan back under its rightful owners once more! All that there is left to do is remove the stains of German influence in the names of the region, and the Polish state shall be even more united.;;;;;;;;;;;;;
warmian_masurian_voivodeship_title;The Warmian-Masurian Voivodeship;;;;;;;;;;;;;
warmian_masurian_voivodeship_desc;It has been centuries since the Duchy of Prussia was a vassal of the Great Polish-Lithuanian Commonwealth, yet many Poles speak fondly of a time when Prussia was obedient to the whims of Warsaw, and not the other way around, a time that many say is returning. The Slav minorities in East Prussia are flocking to our banners, and the cowardly German citizens whimper within their beloved Konigsberg as the flag of Poland is draped over the cities buildings. Semi-officially, many Polish soldiers are looting the ancient German buildings in Konigsberg, with Polish names being scrawled upon German signs and buildings. Officials within our government are viewing this news with pleasure, and wish to seek a full endorsement of the Polonization of Eastern Prussia. Now is the time to pay the Germans back for the indigities our people were forced to suffer for so long, now is the time to stamp our mark on the Germanic Hordes. Zwyciestwo Polski!;;;;;;;;;;;;;
drang_nach_osten_lithuania_title;Drang Nach Osten - Lithuania;;;;;;;;;;;;;
drang_nach_osten_lithuania_desc;We have gained parts of the ancient Teutonic lands on the Baltic coast, the region of Lithuania. Now that our military has marched to east to conquer the pathetic Baltic peoples, it is now time for our the citizens of Prussia to march east as well, to plant and cultivate the German seed over the Baltic provinces. To start this spread of German culture, we shall rename the cities and townships of 'Litauen' into proper German names.;;;;;;;;;;;;;
drang_nach_osten_latvia_title;Drang Nach Osten - Latvia;;;;;;;;;;;;;
drang_nach_osten_latvia_desc;Prussia marches on the east, as yet another area of the Baltic coastline belongs to our Teutonic Empire now. The Prussian eagle is now displayed across the streets of Riga, and the German nobility in Latvia is greeting the sounds of Prussian troops marching through the streets with glee. To both accomdate the existing German populace, and the new settlers in the area, now would be a good time to reclassify the region. 'Lettland welcomes all Deutschesvolk!' shall be a sign all German settlers will see as they make new lives here.;;;;;;;;;;;;;
drang_nach_osten_estonia_title;Drang Nach Osten - Estonia;;;;;;;;;;;;;
drang_nach_osten_estonia_desc;At last, the destiny of the Prussian people has been accomplish, and the entire Baltic coastline is now draped beneath a Prussian flag. Let us complete the final step of the Teutonic destiny to reclaim the east from the Slavs, and make Estland into a prime location where all Germans will feel welcome!;;;;;;;;;;;;;
lithuania_freedom_title;Freedom for Lithuania;;;;;;;;;;;;;
lithuania_freedom_desc;After decades of rule by foreign powers both Slavic and German, and the tyrannical German names forced upon our people, the land of Lithuania is at last free to choose its own destiny. And today, our people choose a Lithuanian name, for a Lithuanian people!;;;;;;;;;;;;;
latvian_freedom_title;Freedom for Latvia;;;;;;;;;;;;;
latvian_freedom_desc;At last, the Latvia is a strong, independent nation, ready to choose its own path. Let us start off a new era of peace and prosperity for our people by throwing off the last shackles left of foreign oppression, and show the true spirit of Latvia to the world.;;;;;;;;;;;;;
estonia_freedom_title;Freedom for Estonia;;;;;;;;;;;;;
estonia_freedom_desc;The Russians and Germans both thought they could subdue the freedom of the Estonian people forever, and today we prove them wrong! By throwing off foreign names, and establishing a true Estonian state, the national unity of our people will soar as a result!;;;;;;;;;;;;;
thorn_is_ours_title;Claim Thorn;;;;;;;;;;;;;
thorn_is_ours_desc;We have managed to reclaim the minor province of Thorn, so injustly taken from the Germans at Tilsit, from the Slavs. Celebrations are taking place across the city as we change 'Torun' back to its rightful name of Thorn.;;;;;;;;;;;;;
upper_silesia_is_polish_title;Upper Silesia is Polish;;;;;;;;;;;;;
upper_silesia_is_polish_desc;The historically Polish regions of Silesia are now fully under Polish control. Let us begin our wise and just rule of the area by reintroducing Polish names to the area.;;;;;;;;;;;;;
upper_silesia_reclaimed_title;Upper Silesia Reclaimed;;;;;;;;;;;;;
upper_silesia_reclaimed_desc;With the Polish devils driven from the German lands of Upper Silesia, now would be a good time to rid the area of any lasting Polish influence in the form of Slavic names.;;;;;;;;;;;;;
lower_silesia_is_polish_title;Lower Silesia is Polish;;;;;;;;;;;;;
lower_silesia_is_polish_desc;The lower Silesian region is now in Polish hands, and the Polish minorities in the region cry out in joy as our armies march through the land. Let us remove the German presence from the area, and show the superiority of Polish culture to all peoples living there!;;;;;;;;;;;;;
lower_silesia_reclaimed_title;Lower Silesia Reclaimed;;;;;;;;;;;;;
lower_silesia_reclaimed_desc;It is a travesty that the Slavic hordes were allowed to trespass as far into German lands as they did, but now is the time to correct that horrible mistake by removing the imposed Polish names from the region. Breslau, you're coming home!;;;;;;;;;;;;;
sell_surplus_title;Selling Supplies;;;;;;;;;;;;;
sell_surplus_desc;Due to the greatly reduced trade we have had with the British Isles since the 1820s, we find we have a severe military and industrial surplus at the end of each year. Though it is officially prohibited by the Empire, our policy has been to sell this surplus to the Indian states, who are always willing to pay huge amounts for it. Shall we continue the practice this year?;;;;;;;;;;;;;
missing_mughals_title;The Great Indian Kidnapping;;;;;;;;;;;;;
missing_mughals_desc;From the early 30s onwards, the tiny states of central India have been considered the top interests of both Hyderabad and the Mughal Empire. Recently, radical ministers in our cabinet have proposed bringing the matter to a head. If we hire some thugs to kidnap the Mughal ambassadors to these courts, we stand a good chance of forcing them to become our puppets. Of course, the Mughals might not back down, and we might face a war if we do this.;;;;;;;;;;;;;
hold_Indian_congress_title;The Pan-Indian Congress;;;;;;;;;;;;;
hold_Indian_congress_desc;In the decades since the rebellion of the 1820s, the states of India have grown strong through their rapid modernization. Yep threats remain both from within and without. The sheer disorder of the multiple states of the subcontinent could easily kindle a great war, and greedy European powers are still lurking just across the ocean. Because of our pre-eminence in India, we have decided to call a Congress of all the Indian states in an attempt to bring the nations of India in a closer political union.;;;;;;;;;;;;;
form_EIC_india_title;Form India;;;;;;;;;;;;;
form_EIC_india_desc;Though the ruling class of our nation is largely British, the fact that we allow natives a large share in the government has given many liberal Indians hope for the future. Some even advocate creating a united India under our liberal rule as a counterbalance to the despotism of the other Indian states. If we extend our influence over the subcontinent, we might be able to accomplish this.;;;;;;;;;;;;;
indie_EIC_title;Independence for East India;;;;;;;;;;;;;
indie_EIC_desc;Our Company... no, our nation, has proved its strength. On our own, we have stood against enemies from without and within, and even with the Imperial leeches bleeding us dry, we have managed to create a stable and prosperous state. Many of our top officials now argue that it is high time we tell the bastards in Canada that they no longer have any right to control us. True, it may mean war, but we are confident that we can defeat anything the Empire throws at us.;;;;;;;;;;;;;
peacefully_federate_title;Centralizing the Confederation;;;;;;;;;;;;;
peacefully_federate_desc;While forming an Indian Confederation was a tremendous achievement, some in our government claim it does not go far enough. Without a common economic and administrative policy, they argue, India is doomed to forever remain at the mercy of the West. As such, they advocate a radical move: announcing a centralized Indian Federation and stripping the states of their autonomy. While this would greatly strengthen the state, it is sure to cause tremendous disorder, and many states will likely resort to force of arms to resist us.;;;;;;;;;;;;;
form_federation_title;Equality for the Empire;Equality for the Empire;Equality for the Empire;;Equality for the Empire;;;;;;;;;
form_federation_desc;After the momentous reunifcation or our divided people, many in our nation are calling upon us to recognize this event by establishing a new order that will bring together the partisans of the Union and the Empire and will ensure stability and properity for all places where our nation touches. Many believe that the perfect symbol of a peaceful Britain would be the extension of rights to many of the races that live under our rule, as new ideologies about Britain's mission to civlize the world, combined with the technological wonders shrinking the size of the earth every day, have led many to believe that an Imperial Federation where all people are treated equally and share a common goal must be our nation's future.;;;;;;;;;;;;;
enact_dual_monarchy_title;Austro-Hungarian Compromise;Le compromis austro-hongrois;Austro-Ungarischer Kompromiss;;El Compromiso Austro-Hgaro;;;;;;;;;
enact_dual_monarchy_desc;The Nobles of the Hungarian Estates have, for some time, been pushing for increased independence for the Hungarian people and the Crown of St. Stephen. A proposal for compromise has now been drafted, under which the Kingdom of Hungary and the Empire of Austria will amalgamate into a new political entity: The Austro-Hungarian dual monarchy. Gott erhalte, Gott beschze!;;;;;;;;;;;;;
enact_dual_monarchy2_title;The Third Crown;;;;;;;;;;;;;
enact_dual_monarchy2_desc;The Slavic peoples in the south of our Empire, specifically the Croats, Serbs, and Slovenes, have, for some time, been pushing for increased independence for their peoples. Rising nationalism and terroristic organizations forming amongst them have convinced many within our government that a third crown should be added to the Austrian-Hungarian monarchy, granting the Kingdom of the South Slavs the same autonomy Hungary enjoys in order to secure their loyalty.;;;;;;;;;;;;;
empire_absorbs_union_title;The Reunification of the British Dominions;The Reunification of the British Dominions;The Reunification of the British Dominions;;The Reunification of the British Dominions;;;;;;;;;
empire_absorbs_union_desc;Our once disloyal subjects on the British Isles have re-embraced the principles of monarchy at long last. While opinion is divided as to who their new monarch should be, the throne currently being occupied by a regent, our spies tell us many are pushing for the House of Hanover to be made sovereign once more.;;;;;;;;;;;;;
union_absorbs_empire_title;The Reunification of the British People;The Reunification of the British People;The Reunification of the British People;;The Reunification of the British People;;;;;;;;;
