Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
INO_reactionary;The Nationalist Faction;;;;;;;;;;;;;
INO_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
INO_socialist;The Socialist Faction;;;;;;;;;;;;;
INO_communist;The Communist Faction;;;;;;;;;;;;;
INO_fascist;The Fascist Faction;;;;;;;;;;;;;
IOM;Isle of Man;Île de Man;Isle of Man;;Isle of Man;;;;;;;;;
IOM_ADJ;Manx;Mannois;Mannisch;Manés;;;;;;;;;;
IOM_liberal;Liberal Party;Liberal Party;Liberal Party;;Liberal Party;;;;;;;;;
IOM_conservative;People's Political Association;People's Political Association;People's Political Association;;People's Political Association;;;;;;;;;
IOM_reactionary;National Party;National Party;National Party;;National Party;;;;;;;;;
IOM_socialist;Labour Party;Labour Party;Labour Party;;Labour Party;;;;;;;;;
IOM_anarcho_liberal;Positive Action Group;Positive Action Group;Positive Action Group;;Positive Action Group;;;;;;;;;
IOM_communist;Communist Party;Communist Party;Communist Party;;Communist Party;;;;;;;;;
IOM_fascist;Mec Vannin;Mec Vannin;Mec Vannin;;Mec Vannin;;;;;;;;;
ISL;Islamic Caliphate;;;;;;;;;;;;;
ISL_ADJ;Islamic;;;;;;;;;;;;;
ISL_proletarian_dictatorship;Islamic People's Republic;;;;;;;;;;;;;
ISL_presidential_dictatorship;Islamic Republic;;;;;;;;;;;;;
ISL_bourgeois_dictatorship;Islamic Republic;;;;;;;;;;;;;
ISL_democracy;Islamic Republic;;;;;;;;;;;;;
ISL_liberal;Islamic Liberal faction;Liberal Faction;Liberal Faction;;Liberal Faction;;;;;;;;;
ISL_conservative;Islamic Conservative Faction;Conservative Faction;;Conservative Faction;;;;;;;;;;
ISL_reactionary;Islamic Fundamentalist Faction;Monarchist Faction;Monarchist Faction;;Monarchist Faction;;;;;;;;;
ISL_socialist;Socialist Faction;Labour Faction;Labour Faction;;Labour Faction;;;;;;;;;
ISL_anarcho_liberals;Anarchist Faction;Anarchist Faction;Anarchist Faction;;Anarchist Faction;;;;;;;;;
ISL_communist;Communist Faction;Communist Faction;Communist Faction;;Communist Faction;;;;;;;;;
ISL_fascist;Mujahideen Faction;Norman Faction;Norman Faction;;Norman Faction;;;;;;;;;
IVC;Ivory Coast;;;;;;;;;;;;;
IVC_ADJ;Ivorian;;;;;;;;;;;;;
IZH;Ingria;;;;;;;;;;;;;
IZH_ADJ;Ingrian;;;;;;;;;;;;;
JAM;Jamaica;Jamaïque;Jamaica;;Jamaica;;;;;;;;;
JAM_ADJ;Jamaican;Jamaïcain;Jamaican;;Jamaican;;;;;;;;;
JAM_conservative;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;
JAM_liberal;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;
JAM_reactionary;Alliance for National Unity;Alliance for National Unity;Alliance for National Unity;;;;;;;;;;;
JAM_socialist;People's Political Party;People's Political Party;People's Political Party;;;;;;;;;;;
JAM_communist;Worker's Party;Worker's Party;Worker's Party;;;;;;;;;;;
JAM_anarcho_liberal;Radical Party;Radical Party;Radical Party;;;;;;;;;;;
JAM_fascist;Fascist Party;Fascist Party;Fascist Party;;;;;;;;;;;
JAP_absolute_monarchy;Imperial Japan;;;;;;;;;;;;;
JAP_reactionary;Handoutou;Faction Shogunate;Shogunate Faction;;;;;;;;;;;
JAP_conservative;Rikken Teiseitou;Faction de la cour;Court Faction;;;;;;;;;;;
JAP_conservative_2;Rikken Kaishintou;Faction impérialiste;Imperialist Faction;;;;;;;;;;;
JAP_reactionary_2;Handoutou;Faction nationaliste;Nationalistische Fraktion;;;;;;;;;;;
JAP_conservative_3;Tachiagare Nippon;Faction conservatrice;Conservative Faction;;;;;;;;;;;
JAP_liberal;Aikokusha;Faction libérale;Liberal Faction;;;;;;;;;;;
JAP_socialist;Shakaitou;Faction marxiste;Marxist Faction;;;;;;;;;;;
JAP_communist;Kyousantou;Faction communiste;Kommunistische Fraktion;;;;;;;;;;;
JNG;Jersey & Guernsey;Jersey & Guernsey;Jersey und Guernsey;;Jersey & Guernsey;;;;;;;;;
JNG_ADJ;Channel Islander;Jèrriais;Jerseyisch;;Jerseyés;;;;;;;;;
JNG_liberal;Liberal faction;Liberal Faction;Liberal Faction;;Liberal Faction;;;;;;;;;
JNG_conservative;Conservative Faction;Conservative Faction;;Conservative Faction;;;;;;;;;;
JNG_reactionary;Monarchist Faction;Monarchist Faction;Monarchist Faction;;Monarchist Faction;;;;;;;;;
JNG_socialist;Labour Faction;Labour Faction;Labour Faction;;Labour Faction;;;;;;;;;
JNG_anarcho_liberal;Anarchist Faction;Anarchist Faction;Anarchist Faction;;Anarchist Faction;;;;;;;;;
JNG_communist;Communist Faction;Communist Faction;Communist Faction;;Communist Faction;;;;;;;;;
JNG_fascist;Norman Faction;Norman Faction;Norman Faction;;Norman Faction;;;;;;;;;
JOR;Jordan;;;;;;;;;;;;;
JOR_ADJ;Jordanian;;;;;;;;;;;;;
JOR_reactionary;Hizb al-Hashemiyya al-Urduni;;;;;;;;;;;;;
JOR_conservative;Hizb al-Wasat al-Islami;;;;;;;;;;;;;
JOR_liberal;Yasari-d-al-Dimaqrati al-Urduni;;;;;;;;;;;;;
JOR_anarcho_liberal;Al Anarkiliberali;;;;;;;;;;;;;
JOR_socialist;Hizb al-Baath al-Ishtiraki al-Urduni;;;;;;;;;;;;;
JOR_communist;Al-Hizb al-Shuyui al-Urduni;;;;;;;;;;;;;
JOR_fascist;Hizb al-Mustaqbal;;;;;;;;;;;;;
KAG;Ishikawa;;;;;;;;;;;;;
KAG_ADJ;Ishikawan;;;;;;;;;;;;;
KAG_absolute_monarchy;Kaga;;;;;;;;;;;;;
KAG_prussian_constitutionalism;Kaga;;;;;;;;;;;;;
KAG_hms_government;Kaga;;;;;;;;;;;;;
KAG_absolute_monarchy_ADJ;Maeda;;;;;;;;;;;;;
KAG_prussian_constitutionalism_ADJ;Maeda;;;;;;;;;;;;;
KAG_hms_government_ADJ;Maeda;;;;;;;;;;;;;
KAM;Kamchatka;;;;;;;;;;;;;
KAM_ADJ;Kamchatkan;;;;;;;;;;;;;
KAM_presidential_dictatorship;Far Eastern Republic;;;;;;;;;;;;;
KAM_bourgeois_dictatorship;Far Eastern Republic;;;;;;;;;;;;;
KAM_proletarian_dictatorship;Far Eastern Republic;;;;;;;;;;;;;
KAM_conservative;The Conservatives;Faction royale;Königsfraktion;;;;;;;;;;;
KAM_liberal;The Liberals;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KAM_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KAM_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KAM_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KAM_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KAM_fascist;The Nationalists;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
KAZ;Kazakhstan;;;;;;;;;;;;;
KAZ_ADJ;Kazakh;;;;;;;;;;;;;
KAZ_conservative;The Conservatives;Faction royale;Königsfraktion;;;;;;;;;;;
KAZ_liberal;The Liberals;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KAZ_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KAZ_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KAZ_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KAZ_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KAZ_fascist;The Nationalists;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
KCH;Kachin;;;;;;;;;;;;;
KCH_ADJ;Kachin;;;;;;;;;;;;;
KDS;Kurdistan;;;;;;;;;;;;;
KDS_ADJ;Kurdish;;;;;;;;;;;;;
KDS_conservative;Meclis-i Mîran;;;;;;;;;;;;;
KDS_conservative_2;Partiya Kurdistanê;;;;;;;;;;;;;
KDS_liberal;Azadi;;;;;;;;;;;;;
KDS_liberal_2;Hêvî;;;;;;;;;;;;;
KDS_liberal_3;Yeketî Nistîman;;;;;;;;;;;;;
KDS_reactionary;Meclis-i Mesayih;;;;;;;;;;;;;
KDS_reactionary_2;Bizutnawai Islami;;;;;;;;;;;;;
KDS_anarcho_liberal;Terakkipeweran;;;;;;;;;;;;;
KDS_socialist;Partiya Karkerên;;;;;;;;;;;;;
KDS_socialist_2;Partiya Zahmatkesan;;;;;;;;;;;;;
KDS_fascist;Jiyanewe;;;;;;;;;;;;;
KDS_communist;Komala;;;;;;;;;;;;;
KER;Cornwall;Cornouailles;Cornwall;;Cornwall;;;;;;;;;
KER_ADJ;Cornish;Cornouaillais;Cornish;Cornés;;;;;;;;;;
KER_conservative;Conservative Party;Conservative Party;Conservative Party;;;;;;;;;;;
KER_liberal;Liberal Party;Liberal Party;Liberal Party;;;;;;;;;;;
KER_reactionary;Party Kenethlegek;Party Kenethlegek;Party Kenethlegek;;;;;;;;;;;
KER_socialist;Labour Party;Labour Party;Labour Party;;;;;;;;;;;
KER_communist;Miners' and Fishers' Party;Miners' and Fishers' Party;Miners' and Fishers' Party;;;;;;;;;;;
KER_anarcho_liberal;Radical Party;Radical Party;Radical Party;;;;;;;;;;;
KER_fascist;Mebyon Kernow;Mebyon Kernow;Mebyon Kernow;;;;;;;;;;;
KIT;Saint Kitts;;;;;;;;;;;;;
KIT_ADJ;Kittitian;;;;;;;;;;;;;
KLM;Kalimantan;;;;;;;;;;;;;
KLM_ADJ;Kalimantan;;;;;;;;;;;;;
KMK;Kalmykia;;;;;;;;;;;;;
KMK_fascist_dictatorship;Kalmyk Khanate;;;;;;;;;;;;;
KMK_proletarian_dictatorship;Kalmyk Republic;;;;;;;;;;;;;
KMK_ADJ;Kalmyk;;;;;;;;;;;;;
KMK_conservative;The Conservatives;Faction royale;Königsfraktion;;;;;;;;;;;
KMK_liberal;The Liberals;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KMK_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KMK_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KMK_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KMK_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KMK_fascist;The Mongolian Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
KMT;Nationalist China;;;;;;;;;;;;;
KMT_ADJ;Nationalist Chinese;;;;;;;;;;;;;
KMT_conservative;Imperial Faction;Faction impériale;Kaiserliche Fraktion;;;;;;;;;;;
KMT_conservative_2;Zhiqiang;Zhiqiang;Zhiqiang;;;;;;;;;;;
KMT_liberal;Reformers;Réformateurs;Reformer;;;;;;;;;;;
KMT_reactionary;Conservatives;Conservateurs;Konservative;;;;;;;;;;;
KMT_anarcho_liberal;Republicans;Républicains;Republikaner;;;;;;;;;;;
KMT_liberal_2;Kuomintang Sun;Kuomintang Sun;Kuomintang Sun;;;;;;;;;;;
KMT_liberal_3;Feng Yuxiang;Feng Yuxiang;Feng Yuxiang;;;;;;;;;;;
KMT_socialist;Socialists;Socialistes;Sozialisten;;;;;;;;;;;
KMT_communist;Communist Party of China;Parti communiste chinois;Kommunistische Partei Chinas;;;;;;;;;;;
KMT_fascist;Fascists;Fascistes;Faschisten;;;;;;;;;;;
KMT_conservative_4;Kuomintang Chiang;Kuomintang Chiang;Kuomintang Chiang;;;;;;;;;;;
KNY;Kenya;;;;;;;;;;;;;
KNY_ADJ;Kenyan;;;;;;;;;;;;;
KRL;Karelia;;;;;;;;;;;;;
KRL_ADJ;Karelian;;;;;;;;;;;;;
KRL_conservative;Suomalainen puolue;Suomalainen puolue;Suomalainen puolue;;Suomalainen puolue;;;;;;;;;
KRL_conservative_2;Svenska partiet;Svenska partiet;Svenska partiet;;Svenska partiet;;;;;;;;;
KRL_liberal;Nuorsuomalaiset;Nuorsuomalaiset;Nuorsuomalaiset;;Nuorsuomalaiset;;;;;;;;;
KRL_liberal_2;Edistyspuolue;Edistyspuolue;Edistyspuolue;;Edistyspuolue;;;;;;;;;
KRL_reactionary;Kokoomus;Kokoomus;Kokoomus;;Kokoomus;;;;;;;;;
KRL_socialist;Sosiaalidemokraatit;Sosiaalidemokraatit;Sosiaalidemokraatit;;Sosiaalidemokraatit;;;;;;;;;
KRL_anarcho_liberal;Aktivistinen vastustuspuolue;Aktivistinen vastustuspuolue;Aktivistinen vastustuspuolue;;Aktivistinen vastustuspuolue;;;;;;;;;
KRL_communist;Punakaarti;Punakaarti;Punakaarti;;Punakaarti;;;;;;;;;
KRL_fascist;Fascists;Fascistes;Faschisten;;Fascistas;;;;;;;;;
KRN;Karnatak;;;;;;;;;;;;;
KRN_ADJ;Karnatak;;;;;;;;;;;;;
KRN_democracy;Tamil Nadu;;;;;;;;;;;;;
KRN_democracy_ADJ;Tamil;;;;;;;;;;;;;
KRN_fascist_dictatorship;Tamil Nadu;;;;;;;;;;;;;
KRN_fascist_dictatorship_ADJ;Tamil;;;;;;;;;;;;;
KRN_bourgeois_dictatorship;Tamil Nadu;;;;;;;;;;;;;
KRN_bourgeois_dictatorship_ADJ;Tamil;;;;;;;;;;;;;
KRN_proletarian_dictatorship;Republic of the Carnatic;;;;;;;;;;;;;
KRN_proletarian_dictatorship_ADJ;Carnatic;;;;;;;;;;;;;
KRN_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
KRN_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KRN_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KRN_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KRN_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KRN_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KRN_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
KRY;Krasnoyarsk;;;;;;;;;;;;;
KRY_ADJ;Ugrian;;;;;;;;;;;;;
KRY_conservative;The Conservatives;Faction royale;Königsfraktion;;;;;;;;;;;
KRY_liberal;The Liberals;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KRY_reactionary;The Khanate Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KRY_anarcho_liberal;The Libertains;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KRY_socialist;The Socialists;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KRY_communist;The Communists;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KRY_fascist;The Nationalists;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
KWT;Kuwait;;;;;;;;;;;;;
KWT_ADJ;Kuwaiti;;;;;;;;;;;;;
KTI;Kutai;;;;;;;;;;;;;
KTI_ADJ;Kutain;;;;;;;;;;;;;
KTI_conservative;Royal Faction;;;;;;;;;;;;;
KTI_liberal;The Liberal Faction;;;;;;;;;;;;;
KTI_reactionary;The Nationalist Faction;;;;;;;;;;;;;
KTI_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
KTI_socialist;The Socialist Faction;;;;;;;;;;;;;
KTI_communist;The Communist Faction;;;;;;;;;;;;;
KTI_fascist;The Fascist Faction;;;;;;;;;;;;;
KYR;Kyrgyzstan;;;;;;;;;;;;;
KYR_ADJ;Kyrgyz;;;;;;;;;;;;;
KYR_conservative;Royal Faction;Faction royale;Königsfraktion;;;;;;;;;;;
KYR_liberal;The Liberal Faction;Faction libérale;Die liberale Fraktion;;;;;;;;;;;
KYR_reactionary;The Nationalist Faction;Faction nationaliste;Die nationalistische Fraktion;;;;;;;;;;;
KYR_anarcho_liberal;The Radical Faction;Faction radicale;Die radikale Fraktion;;;;;;;;;;;
KYR_socialist;The Socialist Faction;Faction socialiste;Die sozialistische Fraktion;;;;;;;;;;;
KYR_communist;The Communist Faction;Faction communiste;Die kommunistische Fraktion;;;;;;;;;;;
KYR_fascist;The Fascist Faction;Faction fasciste;Die faschistische Fraktion;;;;;;;;;;;
LAN;Lanfang;;;;;;;;;;;;;
LAN_ADJ;Lanfang;;;;;;;;;;;;;
LAN_conservative;Conservative Kongsi;;;;;;;;;;;;;
LAN_liberal;Liberal Kongsi;;;;;;;;;;;;;
LAN_reactionary;Nationalist Kongsi;;;;;;;;;;;;;
LAN_anarcho_liberal;Radical Kongsi;;;;;;;;;;;;;
LAN_socialist;Socialist Kongsi;;;;;;;;;;;;;
LAN_communist;The Communist Kongsi;;;;;;;;;;;;;
LAN_fascist;Fascist Kongsi;;;;;;;;;;;;;
LBY;Libya;;;;;;;;;;;;;
LBY_ADJ;Libyan;;;;;;;;;;;;;
LBN;Lebanon;;;;;;;;;;;;;
LBN_ADJ;Lebanese;;;;;;;;;;;;;
LBN_liberal;Harakat al-Tajaddod al-Dimoqrati;;;;;;;;;;;;;
LBN_conservative;At-Tayyar al-Watani al-Horr;;;;;;;;;;;;;
LBN_socialist;Hizb al-Taqadummi al-Ishtiraki;;;;;;;;;;;;;
LBN_reactionary;Harakat al-Qawmiyyin al-Arab;;;;;;;;;;;;;
LBN_anarcho_liberal;Hizb al-Wataniyyin al-Ahrar;;;;;;;;;;;;;
LBN_communist;Al-Hizb al-Shooyoo'i al-Lubnani;;;;;;;;;;;;;
LBN_fascist;Phalanges Libanaises;;;;;;;;;;;;;
LEO;Leon;;;;;;;;;;;;;
LEO_ADJ;Leonese;;;;;;;;;;;;;
LEO_conservative;Partido Moderado;;;;;;;;;;;;;
LEO_liberal;Partido Progresista;;;;;;;;;;;;;
LEO_reactionary;Comuni¢n Carlista;;;;;;;;;;;;;
LEO_socialist;Partido Socialista;;;;;;;;;;;;;
LEO_communist;Federaci¢n Regional;;;;;;;;;;;;;
LEO_anarcho_liberal;Partido Radical;;;;;;;;;;;;;
LEO_fascist;Falange;;;;;;;;;;;;;
LNA;Lan Na;Lan Na;LanNa;Lan Na;Lanna;Lan Na;LanNa;Lan Na;;;;;;
LNA_ADJ;Lan Nan;lan nan;Lan Nan;Lan Nan;de Lanna;Lan Nan;Lan Nan;Lananský;;;;;;
LNN_conservative;Royal Faction;;;;;;;;;;;;;
LNN_liberal;The Liberal Faction;;;;;;;;;;;;;
LNN_reactionary;The Nationalist Faction;;;;;;;;;;;;;
LNN_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
LNN_socialist;The Socialist Faction;;;;;;;;;;;;;
LNN_communist;The Communist Faction;;;;;;;;;;;;;
LNN_fascist;The Fascist Faction;;;;;;;;;;;;;
LOM_reactionary;Monarchici;Monarchici;Monarchici;;Monarchici;;;;;;;;;
LOM_liberal;Intransigenti;Intransigenti;Intransige nti;;Intransigenti;;;;;;;;;
LOM_conservative;Transigenti;Transigenti;Transigen ti;;Transigenti;;;;;;;;;
LOM_socialist;Socialisti;Socialisti;Socialisti;;So cialisti;;;;;;;;;
LOM_communist;Rivoluzionari;Rivoluzionari;Rivoluzionari;;Rivoluzio nari;;;;;;;;;
LOM_reactionary_2;Cattolici;Cattolici;Cattolici;;C attolici;;;;;;;;;
LOM_anarcho_liberal;Radicali;Radicali;Radicali;;Radicali;;;;;;;;;
LOM_fascist;Fascisti;Fascisti;Fascisti;;Fascisti;;;;;;;;;
LOR;Lorraine;;;;;;;;;;;;;
LOR_ADJ;Lorrainian;;;;;;;;;;;;;
LOR_fascist_dictatorship;Lotharingia;;;;;;;;;;;;;
LOR_fascist_dictatorship_ADJ;Lotharingian;;;;;;;;;;;;;
LOS;Los Altos;;;;;;;;;;;;;
LOS_ADJ;Losaltan;;;;;;;;;;;;;
LOS_conservative;Partido Conservador;Partido Conservador;Partido Conservador;;;;;;;;;;;
LOS_liberal;Partido Liberal;Partido Liberal;Partido Liberal;;;;;;;;;;;
LOS_reactionary;Partido Nationalist;Partido nationaliste;Partido Nationalist;;;;;;;;;;;
LOS_anarcho_liberal;Partido Radical;Partido Radical;Partido Radical;;;;;;;;;;;
LOS_socialist;Partido Socialist;Partido socialiste;Partido Socialist;;;;;;;;;;;
LOS_communist;Partido Communist;Partido communiste;Partido Communist;;;;;;;;;;;
LOS_fascist;Partido Fascist;Partido fasciste;Partido Fascist;;;;;;;;;;;
LPL;La Plata;;;;;;;;;;;;;
LPL_ADJ;Platine;;;;;;;;;;;;;
LSK;Alaska;;;;;;;;;;;;;
LSK_ADJ;Alaskan;;;;;;;;;;;;;
LSK_reactionary;Nationalist Party;;;;;;;;;;;;;
LSK_conservative;Democratic Party;;;;;;;;;;;;;
LSK_liberal;Republican Party;;;;;;;;;;;;;
LSK_anarcho_liberal;Liberal Economists;;;;;;;;;;;;;
LSK_socialist;Socialist Party;;;;;;;;;;;;;
LSK_communist;Bolsheviks;;;;;;;;;;;;;
LSK_fascist;Northern Futurists;;;;;;;;;;;;;
LUI;Saint Lucia;;;;;;;;;;;;;
LUI_ADJ;Lucian;;;;;;;;;;;;;
LUZ;Lusatia;;;;;;;;;;;;;
LUZ_ADJ;Lusatian;;;;;;;;;;;;;
LUZ_conservative;Conservative Party;;;;;;;;;;;;;
LUZ_liberal;Liberal Party;;;;;;;;;;;;;
LUZ_reactionary;Nationalist Party;;;;;;;;;;;;;
LUZ_anarcho_liberal;Radical Party;;;;;;;;;;;;;
LUZ_socialist;Socialist Party;;;;;;;;;;;;;
LUZ_communist;Communist Party;;;;;;;;;;;;;
LUZ_fascist;Fascist Party;;;;;;;;;;;;;
LXA_democracy;Laos;;;;;;;;;;;;;
LXA_democracy_ADJ;Lao;;;;;;;;;;;;;
LXA_proletarian_dictatorship;Lao People's Republic;;;;;;;;;;;;;
LXA_proletarian_dictatorship_ADJ;Lao;;;;;;;;;;;;;
LXA;Lan Xang;Lan Xang;LanXang;Lan Xang;Lane Xang;Lan Xang;LanXang;Lan Xang;;;;;;
LXA_ADJ;Lan Xangi;lan xang;Lan Xangi;Lan Xang;de Lane Xang;Lan Xang;Lan Xangi;Lanxangijský;;;;;;
LXA_conservative;Royal Faction;;;;;;;;;;;;;
LXA_liberal;The Liberal Faction;;;;;;;;;;;;;
LXA_reactionary;The Nationalist Faction;;;;;;;;;;;;;
LXA_anarcho_liberal;The Radical Faction;;;;;;;;;;;;;
LXA_socialist;The Socialist Faction;;;;;;;;;;;;;
LXA_communist;The Communist Faction;;;;;;;;;;;;;
LXA_fascist;The Fascist Faction;;;;;;;;;;;;;
MAH;Maharashtra;;;;;;;;;;;;;
MAH_ADJ;Maharashtran;;;;;;;;;;;;;
MAH_conservative;Royal Faction;;;;;;;;;;;;;
